,SubjectID,StimulusType,response,RT
278,3,0,0,0
279,3,1,1,665
280,3,1,1,602
281,3,1,0,0
282,3,0,0,0
283,3,1,1,318
284,3,0,0,0
285,3,0,0,0
286,3,0,0,0
287,3,1,1,581
288,3,1,1,503
289,3,1,1,550
290,3,0,0,0
291,3,1,1,587
292,3,1,1,481
293,3,1,1,662
294,3,0,0,0
295,3,0,0,0
296,3,1,1,596
297,3,1,1,448
298,3,1,1,546
299,3,1,0,0
300,4,1,1,464
301,4,1,1,275
302,4,1,1,291
303,4,1,1,257
304,4,1,1,290
305,4,0,1,308
306,4,1,1,306
307,4,1,1,307
308,4,1,1,355
309,4,1,1,339
310,4,1,1,385
311,4,1,1,370
312,4,1,1,436
313,4,1,1,356
314,4,0,0,0
315,4,1,1,340
316,4,1,1,307
317,4,1,1,305
318,4,1,1,293
319,4,0,0,0
320,4,1,1,324
321,4,0,0,0
322,4,1,1,321
323,4,0,0,0
324,4,0,1,290
325,4,0,0,0
326,4,1,1,425
327,4,1,1,354
328,4,1,1,372
329,4,1,1,371
330,4,1,1,403
331,4,0,0,0
332,4,1,1,338
333,4,1,1,386
334,4,1,1,308
335,4,0,0,0
336,4,1,1,321
337,4,1,1,355
338,4,1,1,341
339,4,1,1,352
340,4,1,1,355
341,4,1,1,355
342,4,1,1,324
343,4,1,1,356
344,4,1,1,399
345,4,1,1,371
346,4,1,1,354
347,4,1,1,324
348,4,1,1,389
349,4,1,1,326
350,4,1,1,327
351,4,1,1,355
352,4,1,1,355
353,4,1,1,370
354,4,1,1,338
355,4,0,0,0
356,4,0,0,0
357,4,1,1,386
358,4,1,1,356
359,4,1,1,322
360,4,1,1,371
361,4,1,1,358
362,4,1,1,340
363,4,1,1,325
364,4,1,1,338
365,4,0,0,0
366,4,1,1,372
367,4,0,0,0
368,4,0,0,0
369,4,1,1,420
370,4,1,1,338
371,4,1,1,356
372,4,1,1,369
373,4,1,1,306
374,4,1,1,308
375,4,0,0,0
376,4,1,1,345
377,4,1,1,324
378,4,1,1,343
379,4,1,1,323
380,4,0,0,0
381,4,1,1,324
382,4,1,1,321
383,4,1,1,261
384,4,0,0,0
385,4,1,1,356
386,4,1,1,259
387,4,1,1,291
388,4,0,0,0
389,4,1,1,290
390,4,1,1,357
391,4,1,1,290
392,4,1,1,291
393,4,1,1,388
394,4,0,0,0
395,4,1,1,306
396,4,1,1,305
397,4,0,0,0
398,4,1,1,17
399,4,1,1,323
400,5,1,1,584
401,5,0,0,0
402,5,1,1,306
403,5,1,1,435
404,5,1,1,371
405,5,1,1,324
406,5,1,1,373
407,5,1,1,324
408,5,1,1,324
409,5,1,1,291
410,5,1,1,306
411,5,0,0,0
412,5,1,1,259
413,5,0,0,0
414,5,1,1,321
415,5,1,1,323
416,5,1,1,324
417,5,1,1,309
418,5,1,1,307
419,5,0,0,0
420,5,1,1,291
421,5,0,1,386
422,5,0,0,0
423,5,1,1,387
424,5,1,1,418
425,5,1,1,271
426,5,1,1,324
427,5,1,1,404
428,5,1,1,290
429,5,0,0,0
430,5,1,1,324
431,5,1,1,290
432,5,1,1,306
433,5,1,1,323
434,5,1,1,274
435,5,1,1,289
436,5,1,1,324
437,5,1,1,305
438,5,1,1,303
439,5,1,1,277
440,5,1,1,308
441,5,1,1,291
442,5,1,1,341
443,5,1,1,320
444,5,1,1,356
445,5,1,1,274
446,5,1,1,289
447,5,1,1,291
448,5,0,0,0
449,5,1,1,305
450,5,1,1,290
451,5,1,1,306
452,5,1,1,278
453,5,1,1,305
454,5,1,1,307
455,5,1,1,308
456,5,1,1,290
457,5,1,1,308
458,5,1,1,307
459,5,1,1,289
460,5,1,1,261
461,5,1,1,294
462,5,1,1,274
463,5,0,0,0
464,5,1,1,405
465,5,0,0,0
466,5,1,1,386
467,5,0,0,0
468,5,1,1,322
469,5,1,1,490
470,5,0,0,0
471,5,1,1,354
472,5,1,1,274
473,5,1,1,290
474,5,1,1,290
475,5,1,1,290
476,5,1,1,274
477,5,0,0,0
478,5,1,1,320
479,5,1,1,341
480,5,0,0,0
481,5,1,1,385
482,5,0,0,0
483,5,1,1,323
484,5,1,1,292
485,5,0,0,0
486,5,0,0,0
487,5,1,1,324
488,5,1,1,327
489,5,1,1,322
490,5,1,1,324
491,5,1,1,311
492,5,1,1,341
493,5,1,1,307
494,5,0,0,0
495,5,1,1,389
496,5,1,1,305
497,5,0,0,0
498,5,0,0,0
499,5,1,1,403
500,6,1,1,732
501,6,1,1,148
502,6,1,1,437
503,6,1,1,336
504,6,1,1,307
505,6,1,1,420
506,6,1,1,364
507,6,1,1,253
508,6,1,1,334
509,6,1,1,308
510,6,1,1,313
511,6,0,1,333
512,6,1,1,518
513,6,1,1,467
514,6,1,1,404
515,6,1,1,389
516,6,1,1,314
517,6,1,1,352
518,6,0,0,0
519,6,0,1,370
520,6,1,1,471
521,6,1,1,443
522,6,1,1,625
523,6,0,0,0
524,6,1,1,504
525,6,0,0,0
526,6,1,1,348
527,6,1,1,580
528,6,0,0,0
529,6,1,1,556
530,6,0,0,0
531,6,1,1,407
532,6,1,1,502
533,6,1,1,520
534,6,1,1,499
535,6,0,1,363
536,6,0,0,0
537,6,1,1,474
538,6,1,1,608
539,6,1,1,494
540,6,1,1,421
541,6,1,1,459
542,6,1,1,336
543,6,1,1,472
544,6,1,1,601
545,6,1,1,476
546,6,0,0,0
547,6,1,1,506
548,6,1,1,522
549,6,1,1,498
550,6,1,0,0
551,6,0,0,0
552,6,1,1,404
553,6,1,1,399
554,6,0,0,0
555,6,1,1,359
556,6,1,1,405
557,6,1,1,354
558,6,1,1,465
559,6,1,1,668
560,6,1,0,0
561,6,1,0,0
562,6,1,0,0
563,6,1,0,0
564,6,1,1,990
565,6,1,0,0
566,6,1,1,431
567,6,1,1,334
568,6,1,1,374
569,6,1,1,501
570,6,1,1,550
571,6,1,0,0
572,6,1,1,336
573,6,1,1,452
574,6,1,1,370
575,6,1,1,688
576,6,1,1,492
577,6,1,1,538
578,6,0,0,0
579,6,1,1,500
580,6,0,0,0
581,6,1,1,474
582,6,1,1,450
583,6,1,1,500
584,6,0,0,0
585,6,1,1,483
586,6,0,0,0
587,6,1,1,593
588,6,1,1,457
589,6,0,0,0
590,6,0,1,429
591,6,1,1,453
592,6,0,0,0
593,6,1,1,564
594,6,1,1,458
595,6,1,1,674
596,6,1,1,455
597,6,1,1,670
598,6,0,0,0
599,6,1,1,482
600,7,1,0,0
601,7,1,1,718
602,7,1,1,301
603,7,1,1,453
604,7,1,1,157
605,7,1,1,671
606,7,0,0,0
607,7,1,0,0
608,7,1,1,312
609,7,1,1,341
610,7,1,1,305
611,7,0,1,584
612,7,1,1,315
613,7,1,1,442
614,7,1,0,0
615,7,1,1,365
616,7,1,0,0
617,7,1,1,309
618,7,0,1,473
619,7,1,1,856
620,7,1,1,472
621,7,1,1,628
622,7,1,1,268
623,7,1,1,412
624,7,1,1,630
625,7,1,1,198
626,7,0,0,0
627,7,1,1,419
628,7,0,1,580
629,7,1,1,369
630,7,1,1,720
631,7,1,1,531
632,7,1,1,571
633,7,1,1,612
634,7,1,1,426
635,7,0,1,367
636,7,1,1,201
637,7,1,1,581
638,7,1,1,427
639,7,1,1,718
640,7,1,1,481
641,7,1,1,256
642,7,0,0,0
643,7,1,0,0
644,7,1,1,679
645,7,1,1,503
646,7,1,1,411
647,7,1,1,408
648,7,1,1,638
649,7,1,1,813
650,7,1,0,0
651,7,0,0,0
652,7,1,1,523
653,7,1,1,647
654,7,1,1,420
655,7,1,1,367
656,7,1,1,749
657,7,1,1,362
658,7,1,1,475
659,7,1,1,306
660,7,1,0,0
661,7,0,1,489
662,7,1,1,512
663,7,1,1,547
664,7,1,1,720
665,7,1,0,0
666,7,1,1,637
667,7,1,1,957
668,7,0,0,0
669,7,1,1,654
670,7,1,1,497
671,7,1,0,0
672,7,1,1,257
673,7,1,1,647
674,7,1,1,350
675,7,1,1,285
676,7,1,1,849
677,7,1,1,364
678,7,1,1,587
679,7,1,0,0
680,7,0,0,0
681,7,1,0,0
682,7,1,0,0
683,7,1,0,0
684,7,0,1,572
685,7,1,1,741
686,7,1,1,705
687,7,1,1,428
688,7,1,1,718
689,7,1,1,561
690,7,0,1,598
691,7,1,1,477
692,7,1,1,411
693,7,1,1,537
694,7,0,0,0
695,7,1,0,0
696,7,1,0,0
697,7,1,0,0
698,7,1,1,408
699,7,1,1,529
700,8,1,1,521
701,8,1,1,237
702,8,1,1,863
703,8,1,1,762
704,8,1,1,923
705,8,1,1,658
706,8,1,1,849
707,8,1,1,657
708,8,1,1,428
709,8,1,1,514
710,8,1,0,0
711,8,0,1,622
712,8,1,1,547
713,8,0,0,0
714,8,1,0,0
715,8,1,0,0
716,8,1,0,0
717,8,1,1,187
718,8,1,1,210
719,8,0,1,321
720,8,1,1,352
721,8,0,1,384
722,8,0,1,617
723,8,1,1,746
724,8,1,1,530
725,8,1,1,476
726,8,1,1,497
727,8,1,1,431
728,8,1,1,390
729,8,1,1,281
730,8,1,1,217
731,8,1,1,211
732,8,1,1,723
733,8,1,1,401
734,8,1,1,872
735,8,1,1,210
736,8,1,1,167
737,8,1,1,250
738,8,0,0,0
739,8,1,1,536
740,8,1,1,458
741,8,1,1,388
742,8,1,1,320
743,8,1,0,0
744,8,1,1,573
745,8,1,1,692
746,8,1,1,307
747,8,1,1,299
748,8,1,1,508
749,8,0,1,381
750,8,1,1,277
751,8,1,1,211
752,8,1,1,187
753,8,1,1,169
754,8,1,1,214
755,8,1,1,285
756,8,1,1,273
757,8,1,1,318
758,8,0,1,257
759,8,1,1,388
760,8,1,1,340
761,8,1,1,250
762,8,1,1,293
763,8,1,1,281
764,8,1,1,472
765,8,1,1,364
766,8,1,1,259
767,8,0,1,371
768,8,1,1,463
769,8,1,1,455
770,8,1,1,273
771,8,1,1,199
772,8,1,1,255
773,8,0,1,288
774,8,1,1,271
775,8,1,1,283
776,8,1,1,253
777,8,1,0,0
778,8,1,1,327
779,8,1,1,247
780,8,1,0,0
781,8,1,1,468
782,8,0,0,0
783,8,1,1,451
784,8,1,1,248
785,8,0,1,546
786,8,1,1,217
787,8,1,1,397
788,8,1,1,253
789,8,1,1,547
790,8,0,0,0
791,8,0,0,0
792,8,1,0,0
793,8,1,1,257
794,8,1,1,742
795,8,1,1,661
796,8,1,1,203
797,8,1,0,0
798,8,1,1,276
799,8,1,1,462
