SubjectID,StimulusType,response,RT
13351004,1,1,457
13351004,1,1,491
13351004,1,1,369
13351004,1,1,320
13351004,1,1,297
13351004,1,1,203
13351004,1,1,333
13351004,1,1,237
13351004,1,1,254
13351004,1,1,386
13351004,1,1,353
13351004,1,1,321
13351004,1,1,217
13351004,1,1,304
13351004,1,1,269
13351004,1,1,340
13351004,1,1,254
13351004,1,1,238
13351004,1,1,238
13351004,1,1,254
13351004,0,1,321
13351004,1,1,419
13351004,1,1,223
13351004,1,1,382
13351004,0,1,251
13351004,1,1,453
13351004,0,0,0
13351004,1,1,337
13351004,1,1,524
13351004,1,1,400
13351004,1,1,442
13351004,1,1,370
13351004,1,1,490
13351004,1,1,381
13351004,1,1,435
13351004,0,0,0
13351004,0,1,255
13351004,0,0,0
13351004,1,1,437
13351004,0,0,0
13351004,0,0,0
13351004,1,1,405
13351004,0,0,0
13351004,1,1,385
13351004,1,1,489
13351004,1,1,370
13351004,1,1,454
13351004,1,1,403
13351004,1,1,426
13351004,1,1,373
13351004,1,1,442
13351004,0,0,0
13351004,0,0,0
13351004,1,1,405
13351004,1,1,439
13351004,1,1,453
13351004,0,0,0
13351004,1,1,406
13351004,0,0,0
13351004,1,1,408
13351004,0,0,0
13351004,1,1,471
13351004,1,1,390
13351004,0,0,0
13351004,1,1,369
13351004,1,1,357
13351004,1,1,357
13351004,1,1,402
13351004,1,1,489
13351004,1,1,411
13351004,0,0,0
13351004,1,1,439
13351004,1,1,340
13351004,1,1,335
13351004,0,1,303
13351004,0,0,0
13351004,1,1,425
13351004,1,1,627
13351004,1,1,372
13351004,1,1,440
13351004,1,1,405
13351004,1,1,749
13351004,1,1,405
13351004,1,1,521
13351004,1,1,369
13351004,0,0,0
13351004,1,1,371
13351004,1,1,417
13351004,1,1,370
13351004,1,1,368
13351004,1,1,536
13351004,1,1,359
13351004,1,1,392
13351004,1,1,387
13351004,1,1,389
13351004,1,1,372
13351004,1,1,286
13351004,1,1,352
13351004,1,1,288
13351004,0,0,0
