SubjectID,StimulusType,response,RT
22250904,1,1,655
22250904,1,1,494
22250904,1,1,334
22250904,1,1,290
22250904,1,1,271
22250904,0,0,0
22250904,1,1,407
22250904,1,1,420
22250904,1,1,385
22250904,1,1,376
22250904,1,1,409
22250904,1,1,454
22250904,1,1,372
22250904,1,1,358
22250904,1,1,424
22250904,1,1,425
22250904,1,1,491
22250904,1,1,368
22250904,1,1,405
22250904,1,1,403
22250904,0,0,0
22250904,0,0,0
22250904,0,0,0
22250904,1,1,407
22250904,0,0,0
22250904,1,1,424
22250904,0,0,0
22250904,1,1,506
22250904,1,1,557
22250904,0,0,0
22250904,0,0,0
22250904,0,0,0
22250904,1,1,463
22250904,1,1,428
22250904,0,0,0
22250904,1,1,425
22250904,1,1,409
22250904,1,1,389
22250904,0,0,0
22250904,1,1,474
22250904,1,1,461
22250904,1,1,419
22250904,1,1,427
22250904,1,1,443
22250904,0,0,0
22250904,1,1,457
22250904,1,1,374
22250904,1,1,354
22250904,1,1,372
22250904,1,1,405
22250904,1,1,424
22250904,1,1,406
22250904,0,0,0
22250904,1,1,529
22250904,1,1,376
22250904,0,0,0
22250904,1,1,452
22250904,1,1,426
22250904,1,1,408
22250904,1,1,421
22250904,1,1,421
22250904,1,1,440
22250904,0,0,0
22250904,1,1,456
22250904,1,1,474
22250904,0,0,0
22250904,1,1,491
22250904,1,1,518
22250904,1,1,487
22250904,1,1,492
22250904,1,1,460
22250904,1,1,443
22250904,1,1,441
22250904,0,0,0
22250904,0,0,0
22250904,1,1,463
22250904,1,1,410
22250904,1,1,390
22250904,1,1,392
22250904,1,1,389
22250904,1,1,407
22250904,1,1,354
22250904,1,1,423
22250904,1,1,442
22250904,1,1,412
22250904,1,1,492
22250904,1,1,385
22250904,0,0,0
22250904,1,1,540
22250904,1,1,425
22250904,1,1,389
22250904,1,1,426
22250904,1,1,457
22250904,1,1,416
22250904,1,1,409
22250904,1,1,376
22250904,0,0,0
22250904,1,1,391
22250904,1,1,369
22250904,1,1,391
